District,Facility classification (large),Facility classification (small),Model,Operating institution,Rapid charging amount,Charger type,Charger ID,latitude,longitude
Dongdaemun-gu,Public Facility,Government Office,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5744181,127.0397492
Dongjak-gu,Community Facility,Hospital,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5070482,126.9608627
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5457889,126.9110803
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5473864,126.9609222
Seodaemun-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5906351,126.9406737
Seodaemun-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.5906351,126.9406737
Seocho-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4802366,127.02062
Seocho-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.452261,127.0428224
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5102687,127.0763977
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.5102687,127.0763977
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,3,37.5102687,127.0763977
Songpa-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4917382,127.1177515
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5182266,126.8959242
Yeongdeungpo-gu,Other Facility,Public Phone Booth,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.50245880000001,126.9111365
Yeongdeungpo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5071572,126.9116717
Yeongdeungpo-gu,Other Facility,Public Phone Booth,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5242082,126.9015218
Yeongdeungpo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5165818,126.9055211
Yongsan-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5352983,126.9551853
Yongsan-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5349247,127.0001945
Eunpyeong-gu,Vehicle Maintenance Facility,Service Center,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5866951,126.8880528
Eunpyeong-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6307242,126.9233696
Jongno-gu,Apartment Complex Facility,Business Office,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.572007,126.9848565
Jongno-gu,Educational and Cultural Facility,School,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5822703,126.9969549
Jung-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5528698,127.0001308
Jung-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.5528698,127.0001308
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5981008,127.0905139
Jungnang-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6157942,127.0937634
Jungnang-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.573234,127.0912609
Seocho-gu,Rest Area,Highway Rest Area,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4600837,127.0421686
Seocho-gu,Rest Area,Highway Rest Area,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.4600837,127.0421686
Gangnam-gu,Commercial Facility,Lodging Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.50856640000001,127.0641471
Seodaemun-gu,Commercial Facility,Lodging Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5891802,126.935254
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4705934,126.8957132
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,2,37.4705934,126.8957132
Jung-gu,Community Facility,Financial Institution,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,12,37.559236,126.9815052
Jung-gu,Community Facility,Financial Institution,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,13,37.559236,126.9815052
Gangseo-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5656712,126.840318
Dobong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6413143,127.0354614
Dobong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.63780029999999,127.0395247
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5547333,126.9394175
Gangbuk-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6250903,127.0334035
Gwanak-gu,Public Facility,Community Center,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4615276,126.9187407
Geumcheon-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.4594345,126.9088506
Dobong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6505533,127.0322396
Mapo-gu,Commercial Facility,Lodging Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.58232479999999,126.886664
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Demo + AC 3-Phase + DC Combo,1,37.5311396,126.9170175
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,2,37.5311396,126.9170175
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,52,37.5311396,126.9170175
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Demo + AC 3-Phase + DC Combo,1,37.5292775,126.9142649
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,2,37.5292775,126.9142649
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,52,37.5292775,126.9142649
Nowon-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6441596,127.0582998
Yeongdeungpo-gu,Parking Facility,Transfer Parking Lot,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5245755,126.8955988
Jungnang-gu,Community Facility,Hospital,Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.6129812,127.0979689
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,Rapid (50kW),DC Demo + AC 3-Phase + DC Combo,1,37.5278069,126.9046657
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Demo + DC Combo,2,37.5278069,126.9046657
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,3,37.5278069,126.9046657
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,4,37.5278069,126.9046657
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,5,37.5278069,126.9046657
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Simultaneous)",DC Combo,6,37.5278069,126.9046657
Yeongdeungpo-gu,Community Facility,Hospital,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5120599,126.9227806
Gangbuk-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.623985,127.0195308
Gangbuk-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6285599,127.0223422
Gangbuk-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6305712,127.0218737
Guro-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.500011,126.8510262
Guro-gu,Parking Facility,Park Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.4870791,126.8807855
Dobong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6613576,127.0375166
Seocho-gu,Public Facility,Government Office,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.48374260000001,127.0325868
Seongbuk-gu,Tourism Facility,Tourist Information Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.618512,126.9969109
Eunpyeong-gu,Tourism Facility,Tourist Information Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6558459,126.9488622
Jongno-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5925634,126.9641561
Gangnam-gu,Tourism Facility,Exhibition Hall,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.4957886,127.0717955
Gangnam-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.4814448,127.0480249
Gangnam-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.494949,127.0792998
Gangnam-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5297257,127.027851
Gangbuk-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6415943,127.0150078
Gangseo-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5599598,126.86556
Gangseo-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5596885,126.8505702
Nowon-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.656471,127.0662494
Mapo-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5760734,126.8904936
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.494327,127.1561407
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.49228919999999,127.1503719
Songpa-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5001389,127.1539795
Yongsan-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5403605,126.9926603
Eunpyeong-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6003572,126.9201927
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5385543,126.8272033
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5185819,126.8543294
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5461382,126.8716641
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.54996089999999,127.068066
Gangnam-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.4941587,127.0786895
Gangnam-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.4941587,127.0786895
Gangdong-gu,Public Facility,Government Office,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.530094,127.123686
Gangdong-gu,Public Facility,Government Office,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.530094,127.123686
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.4686843,126.8968983
Geumcheon-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.4686843,126.8968983
Dobong-gu,Parking Facility,Transfer Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.6900356,127.042958
Dobong-gu,Parking Facility,Transfer Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.6900356,127.042958
Dobong-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.6687055,127.0471
Dobong-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.6687055,127.0471
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5704746,127.0383023
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5704746,127.0383023
Dongdaemun-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5806549,127.0376267
Dongdaemun-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5806549,127.0376267
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.5260484,126.8916462
Yeongdeungpo-gu,Commercial Facility,Mart (Shopping Mall),Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,2,37.5260484,126.8916462
Gwangjin-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,1,37.6807988,127.0501612
Gwangjin-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Multi)",DC Demo + AC 3-Phase + DC Combo,2,37.6807988,127.0501612
Eunpyeong-gu,Parking Facility,Transfer Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.63800519999999,126.9193012
Eunpyeong-gu,Parking Facility,Transfer Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.63800519999999,126.9193012
Jongno-gu,Tourism Facility,Museum,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5707551,126.9688336
Jongno-gu,Tourism Facility,Museum,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5707551,126.9688336
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5113446,126.8414638
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5113446,126.8414638
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5645699,127.0543101
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5645699,127.0543101
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,1,37.5387933,126.9425999
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,2,37.5387933,126.9425999
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,3,37.5387933,126.9425999
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,4,37.5387933,126.9425999
Jung-gu,Commercial Facility,Department Store,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,11,37.5648094,126.9810897
Jung-gu,Commercial Facility,Department Store,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,12,37.5648094,126.9810897
Jung-gu,Commercial Facility,Department Store,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,13,37.5648094,126.9810897
Jung-gu,Commercial Facility,Department Store,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,14,37.5648094,126.9810897
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,1,37.5491283,127.0551808
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,2,37.5491283,127.0551808
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,3,37.5491283,127.0551808
Seongdong-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (400kW, Simultaneous)",DC Combo,4,37.5491283,127.0551808
Seodaemun-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5651977,126.9645999
Seodaemun-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5783935,126.9238634
Seocho-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5000358,127.0104452
Songpa-gu,Tourism Facility,Park,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.52103109999999,127.1161652
Songpa-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5022976,127.0933147
Yangcheon-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5163823,126.8696629
Yangcheon-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.52953540000001,126.8360451
Yangcheon-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5161364,126.8496513
Gangnam-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.4921026,127.073741
Yangcheon-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.532395,126.8683613
Yeongdeungpo-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5268741,126.9178845
Yeongdeungpo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5143978,126.9091644
Mapo-gu,Community Facility,Library,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5637867,126.9084724
Gangnam-gu,Public Facility,Government Office,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5160611,127.0521228
Yongsan-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.5319978,126.9760126
Gangnam-gu,Public Facility,Community Center,Fast,Environmental Ministry,"Rapid (100kW, Standalone)",DC Combo,1,37.4833153,127.0864733
Gangnam-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,21,37.4967927,127.0828214
Gangnam-gu,Public Facility,Local Government Facility,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,22,37.4967927,127.0828214
Nowon-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,21,37.62839779999999,127.0822704
Nowon-gu,Public Facility,Public Institution,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,22,37.62839779999999,127.0822704
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,21,37.5778229,126.8970045
Mapo-gu,Parking Facility,Public Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,22,37.5778229,126.8970045
Mapo-gu,Parking Facility,General Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,21,37.5785367,126.8942815
Mapo-gu,Parking Facility,General Parking Lot,Fast,Environmental Ministry,"Rapid (200kW, Simultaneous)",DC Combo,22,37.5785367,126.8942815
