"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","자본금","거래처"
"3180000","2003318007601500007","2003-06-04","","01","영업/정상","06","휴지사업재개","","","","2023-10-28","02 8321700","","","서울특별시 영등포구 도림동 71","서울특별시 영등포구 도신로 151 (도림동)","","주식회사 강서오일","2023-11-01 13:08:03","U","2022-11-01 00:03:00.0","주유소","191817.199365771","445315.304547129","",""
"3230000","1989323013101500015","1989-03-17","","01","영업/정상","01","신규등록","","","","","000204210051","541","","서울특별시 송파구 석촌동 14-12","서울특별시 송파구 백제고분로 289 (석촌동)","","대성석유(주)석촌주유소","2023-06-14 11:19:38","U","2022-12-05 23:06:00.0","주유소","208646.320159665","444516.776444974","",""
"3230000","2007323013101249039","1990-11-06","","03","폐업","03","폐지","","","","","000222020388","","","서울특별시 송파구 송파동 51-2","서울특별시 송파구 오금로18길 6 (송파동)","","형제석유","2023-06-19 09:55:04","U","2022-12-05 22:01:00.0","일반판매소","209707.317017924","445343.360610192","",""
"3230000","2001323007801500003","2001-07-26","","01","영업/정상","01","신규등록","","","","","024222834","","","서울특별시 송파구 석촌동 217-17","서울특별시 송파구 삼학사로 22 (석촌동)","","한강에너지(주)퍼스트주유소","2023-06-07 15:07:01","U","2022-12-06 00:09:00.0","주유소","208513.524025847","444127.099712377","",""
"3050000","1984305008201200012","1984-07-19","","01","영업/정상","01","신규등록","","","","","02 9253600","","","서울특별시 동대문구 제기동 779","서울특별시 동대문구 고산자로 502 (제기동)","","성동사석유","2023-06-28 15:43:21","U","2022-12-05 21:00:00.0","일반판매소","203366.854479845","453584.776332992","",""
"3040000","1996304007301200046","1996-04-26","","01","영업/정상","01","신규등록","","","","","02444 1304","","","서울특별시 광진구 구의동 203-31","서울특별시 광진구 구의로16길 21 (구의동)","","SK에너지","2023-04-06 17:08:59","U","2022-12-04 00:08:00.0","일반판매소","208036.180216687","449057.273932985","",""
"3080000","1990308007501200946","2006-08-23","","01","영업/정상","01","신규등록","","","","","02   9834272","860.2","","서울특별시 강북구 번동 436-38","서울특별시 강북구 덕릉로 158 (번동)","","㈜미래아스팔트 덕릉로주유소","2023-10-18 17:32:35","U","2022-10-30 22:00:00.0","주유소","202694.860754003","459180.146121604","",""
"3220000","2023322017601200001","2023-04-07","","01","영업/정상","07","영업개시","","","","","02-565-1328","","","서울특별시 강남구 역삼동 719-4 도원빌딩","서울특별시 강남구 테헤란로 222, 도원빌딩 8층 (역삼동)","06221","㈜그린오션화학","2023-04-17 16:59:01","U","2022-12-03 23:09:00.0","항공유판매소","203528.84577705","444382.002257577","",""
"3230000","1994323007801500001","1994-12-02","","01","영업/정상","06","휴지사업재개","","2016-10-26","2017-03-31","2017-03-31","02 4489252","665","","서울특별시 송파구 문정동 150-21","서울특별시 송파구 중대로 58 (문정동)","","(주)삼표에너지훼미리주유소","2023-05-26 16:12:40","U","2022-12-04 22:08:00.0","주유소","210131.68401527","443232.206764753","",""
"3080000","1995308007501500001","1995-08-10","","01","영업/정상","01","신규등록","","","","","02   9955148","911","","서울특별시 강북구 수유동 168-3","서울특별시 강북구 도봉로 395 (수유동)","","수유동주유소","2023-10-18 17:30:20","U","2022-10-30 22:00:00.0","주유소","202541.742253681","459977.018773907","",""
"3230000","1993323007801500001","1993-12-10","","01","영업/정상","06","휴지사업재개","","2011-10-06","2011-10-31","2011-11-13","02 4242900","734","","서울특별시 송파구 석촌동 210-16","서울특별시 송파구 삼학사로 50 (석촌동)","","(주)지에스이앤알송파제일주유소","2023-05-26 16:15:03","U","2022-12-04 22:08:00.0","주유소","208536.909631379","444388.710225366","",""
"3050000","1983305008201200017","1983-09-13","","01","영업/정상","01","신규등록","","","","","0222122516","","","서울특별시 동대문구 전농동 680-3","서울특별시 동대문구 답십리로15길 23 (전농동)","","구산에너지","2023-06-28 15:42:58","U","2022-12-05 21:00:00.0","일반판매소","204074.339490685","452811.627644313","",""
"3060000","2000306007501500002","2007-05-17","","01","영업/정상","01","신규등록","","","","","02 434 1448","336.5","","서울특별시 중랑구 면목동 146-72","서울특별시 중랑구 동일로 636 (면목동)","","(주)자연에너지 대창주유소","2023-06-29 14:21:01","U","2022-12-07 00:01:00.0","주유소","207015.436990915","453880.794227773","",""
"3230000","1993323013101500049","1993-12-10","","01","영업/정상","01","신규등록","","","","","000222024050","727.27","","서울특별시 송파구 방이동 109-6","서울특별시 송파구 오금로 143 (방이동)","","백제고분로셀프주유소","2023-07-04 10:02:01","U","2022-12-07 00:06:00.0","주유소","209754.737397213","445438.389212434","",""
"3080000","1995308007501500924","1994-11-12","","01","영업/정상","01","신규등록","","","","","02 9878182","1127","","서울특별시 강북구 번동 112","서울특별시 강북구 월계로 195 (번동)","","에덴주유소","2023-10-18 17:44:08","U","2022-10-30 22:00:00.0","주유소","203950.367402402","457706.711207488","",""
"3080000","1992308009201500001","1992-04-24","","01","영업/정상","01","신규등록","","","","","02 9848544","245","","서울특별시 강북구 수유동 472-211 212","서울특별시 강북구 삼양로 316 (수유동)","","(주)석산에너지","2023-10-18 17:40:30","U","2022-10-30 22:00:00.0","주유소","201514.024286173","458808.921170645","",""
"3080000","1986308009201500001","1986-07-09","","01","영업/정상","01","신규등록","","","","","02   9083320","688","","서울특별시 강북구 수유동 277-20","서울특별시 강북구 삼양로 484 (수유동)","","대성석유(주)신광주유소","2023-10-18 17:35:35","U","2022-10-30 22:00:00.0","주유소","201283.308227409","460448.805676326","",""
"3080000","2000308009201500001","1986-06-20","","01","영업/정상","06","휴지사업재개","","2013-06-01","2013-11-30","2013-11-04","02 9076890","756.7","","서울특별시 강북구 번동 428-38","서울특별시 강북구 한천로 918 (번동)","","세원주유소","2023-10-18 17:35:06","U","2022-10-30 22:00:00.0","주유소","203261.016072461","459100.884239822","",""
"3220000","1994322008301500076","1994-01-21","","01","영업/정상","01","신규등록","","","","","02 5125521","1231","","서울특별시 강남구 신사동 503-1","서울특별시 강남구 강남대로 640 (신사동)","","대교주유소","2023-10-27 13:09:38","U","2022-10-30 22:09:00.0","주유소","201636.407849513","446298.130842392","",""
"3220000","1993322008301500066","1993-12-29","","01","영업/정상","01","신규등록","","","","","02 5185141","669","","서울특별시 강남구 삼성동 38-21","서울특별시 강남구 봉은사로 433 (삼성동)","","주식회사 만정에너지","2023-10-27 13:08:55","U","2022-10-30 22:09:00.0","주유소","204100.844516583","445478.54156195","",""
"3000000","1969300007601500001","19690706","","01","영업/정상","06","휴지사업재개","","","","20110120","02 7328780","210.9","","서울특별시 종로구 중학동 14 ","서울특별시 종로구 율곡로 6 (중학동)","","주식회사 대양씨앤씨 경복궁주유소","2020-02-18 15:32:11","U","2020-02-20 02:40:00.0","주유소","198176.159239663    ","452574.67151361     ","",""
"3120000","2004312009301500007","2004-05-18","","01","영업/정상","01","신규등록","","","","","000203356152","1074.4","","서울특별시 서대문구 연희동 194-32 SK삼보주유소","서울특별시 서대문구 연희로 78, SK삼보주유소 (연희동)","03726","(주)안국에너지 삼보주유소","2023-10-30 17:10:02","U","2022-11-01 00:01:00.0","주유소","193739.775891912","451415.645252545","",""
"3120000","2004312009301500003","2004-05-17","","01","영업/정상","01","신규등록","","","","","000203790753","415.37","","서울특별시 서대문구 홍제동 330-61","서울특별시 서대문구 통일로 455 (홍제동)","03636","(주)창원이엔지 홍제지점","2023-10-30 16:36:44","U","2022-11-01 00:01:00.0","주유소","194941.659191944","454077.940524278","",""
"3060000","2002306007501500003","2006-08-01","","01","영업/정상","07","영업개시","","","","","02  22090523","933","","서울특별시 중랑구 신내동 352","서울특별시 중랑구 용마산로 705 (신내동)","","신내주유소","2023-11-02 15:08:23","U","2022-11-01 00:04:00.0","주유소","208848.343319635","456872.358630437","",""
"3130000","1993313011801500015","1993-05-20","","01","영업/정상","06","휴지사업재개","","","","2023-11-20","02  701 3990","215","","서울특별시 마포구 공덕동 105-128","서울특별시 마포구 마포대로 186 (공덕동)","","에쓰-오일주식회사 마포주유소","2023-11-20 18:02:50","U","2022-10-31 22:02:00.0","주유소","196011.399854851","449819.291586983","",""
"3070000","1994307009901500001","1994-06-09","","01","영업/정상","06","휴지사업재개","","","","2019-11-25","02  22855078","856.8","","서울특별시 성북구 보문동7가 137","서울특별시 성북구 보문로 27 (보문동7가)","","이케이에너지(주) 강산주유소","2023-07-06 11:25:30","U","2022-12-07 00:08:00.0","주유소","201959.666617589","452838.984369473","",""
"3040000","1976304007301500005","1976-05-24","","01","영업/정상","01","신규등록","","","","","02 4672410","314.8","","서울특별시 광진구 중곡동 235-2","서울특별시 광진구 동일로 398 (중곡동)","","에이치디현대오일뱅크(주) 직영 중원주유소","2023-04-07 11:14:20","U","2022-12-04 00:09:00.0","주유소","206795.456275176","451510.90650359","",""
"3230000","2021323024801500001","2021-12-14","","01","영업/정상","07","영업개시","","","","","02-404-5189","1397","","서울특별시 송파구 장지동 646-7 위례드림주유소","서울특별시 송파구 위례중앙로 10, 위례드림주유소 (장지동)","05844","위례드림주유소","2023-05-26 16:09:14","U","2022-12-04 22:08:00.0","주유소","211294.105331779","441479.209420138","",""
"3230000","1995323013101500073","1995-06-17","","01","영업/정상","01","신규등록","","","","","000204063956","799.4","","서울특별시 송파구 오금동 121-1","서울특별시 송파구 동남로 325 (오금동)","","(주)유진주유소","2023-05-26 16:12:07","U","2022-12-04 22:08:00.0","주유소","212171.11150746","444715.793495629","",""
"3230000","2005323007801200001","1995-01-25","","01","영업/정상","06","휴지사업재개","","","","","0234011588","708.9","","서울특별시 송파구 가락동 137-9","서울특별시 송파구 동남로 153 (가락동)","","(주)삼표에너지 우리셀프주유소","2023-05-26 16:24:54","U","2022-12-04 22:08:00.0","주유소","211193.192583442","443361.244938365","",""
"3150000","1981315010001200001","1981-10-15","","01","영업/정상","01","신규등록","","","","","0226028612","","","서울특별시 강서구 화곡동 877-1","서울특별시 강서구 곰달래로 166 (화곡동)","07781","중앙석유","2023-06-08 14:40:16","U","2022-12-05 23:00:00.0","일반판매소","186792.141667481","447618.444962646","",""
"3180000","1994318007601500008","1994-01-13","","01","영업/정상","06","휴지사업재개","","","","2021-01-10","02   8421155","1265","","서울특별시 영등포구 신길동 70-1","서울특별시 영등포구 영등포로 399 (신길동)","","(주)지에스이앤알 보라주유소","2023-07-06 09:33:59","U","2022-12-07 00:08:00.0","주유소","193099.332836113","445704.136257393","",""
"3210000","2013321012201500001","2013-02-26","","01","영업/정상","07","영업개시","","","","2023-03-22","025735149","900","","서울특별시 서초구 우면동 761","서울특별시 서초구 양재대로2길 100-30 (우면동)","","정해네트웍스(주) 서초 하이웨이 주유소","2023-07-07 09:50:08","U","2022-12-07 00:09:00.0","주유소","201364.751479247","439459.307260772","",""
"3200000","1996320008001200002","1996-05-07","","01","영업/정상","01","신규등록","","","","","02885 3507","","","서울특별시 관악구 신림동 1635-113","서울특별시 관악구 문성로 223-1 (신림동)","","관악석유","2023-08-02 10:33:06","U","2022-12-08 00:04:00.0","일반판매소","193639.115206034","441921.453692025","",""
"3110000","1976311008801500001","1976-05-27","","03","폐업","03","폐지","2023-09-12","","","","02 3855001","657","","서울특별시 은평구 녹번동 59-1","서울특별시 은평구 통일로 600 (녹번동)","","지에스칼텍스(주)녹번주유소","2023-09-12 16:59:07","U","2022-12-08 23:04:00.0","주유소","194308.278385233","455358.024937487","",""
"3120000","1975312011901500007","1975-03-08","","01","영업/정상","07","영업개시","","2013-03-01","2013-06-30","","02  336 0611","1235","","서울특별시 서대문구 연희동 220-55 구도일주유소","서울특별시 서대문구 성산로 312, 구도일주유소 (연희동)","03716","(주)한화미 구도일주유소 두꺼비","2023-09-12 15:14:38","U","2022-12-08 23:04:00.0","주유소","193295.909036395","451531.909089519","",""
"3220000","2001322008301200013","1984-10-15","","01","영업/정상","01","신규등록","","","","","02 5775522","990.8","","서울특별시 강남구 개포동 1164-2","서울특별시 강남구 양재대로 339 (개포동)","","대양산업(주)개포주유소","2023-10-27 11:27:19","U","2022-10-30 22:09:00.0","주유소","204487.02666874","441119.156988213","",""
"3060000","2005306007501500001","2006-04-20","","01","영업/정상","06","휴지사업재개","","2019-06-25","2019-06-30","2019-07-01","02   4339990","576.2","","서울특별시 중랑구 망우동 458-6","서울특별시 중랑구 용마산로 487 (망우동)","","우림주유소","2023-11-02 15:07:28","U","2022-11-01 00:04:00.0","주유소","208702.907738068","454708.36394533","",""
"3100000","2001310009601500099","2001-03-24","","03","폐업","03","폐지","2023-08-31","","","","02 9485151","1157","","서울특별시 노원구 공릉동 596-10","서울특별시 노원구 동일로 1008 (공릉동)","","노원주유소","2023-09-11 13:49:46","U","2022-12-08 23:03:00.0","주유소","206560.822115442","457551.615063923","",""
"3060000","2003306007501500002","2003-10-01","","01","영업/정상","06","휴지사업재개","","2010-11-01","2010-12-25","2010-12-12","02   4386111","1392","","서울특별시 중랑구 면목동 161-17","서울특별시 중랑구 동일로 600 (면목동)","","대원주유소","2023-11-02 15:09:44","U","2022-11-01 00:04:00.0","주유소","207006.122480012","453528.548106528","",""
"3060000","2001306007501500001","2001-02-09","","01","영업/정상","01","신규등록","","","","","22079419","809","","서울특별시 중랑구 신내동 347-2","서울특별시 중랑구 용마산로 716 (신내동)","","(주)기지에너지","2023-11-02 15:08:05","U","2022-11-01 00:04:00.0","주유소","208925.347290046","456927.546198435","",""
"3160000","1992316007101500028","1992-08-26","","01","영업/정상","01","신규등록","","","","","02685495   6","502.4","","서울특별시 구로구 궁동 283-2","서울특별시 구로구 오리로 1299 (궁동)","","(주)서울에너지 궁동주유소","2023-10-06 14:24:18","U","2022-10-31 00:08:00.0","주유소","184808.496072558","443924.164016775","",""
"3060000","1994306007501500001","1994-01-27","","01","영업/정상","06","휴지사업재개","","2019-06-01","2019-06-03","2019-06-03","02   4374072","955","","서울특별시 중랑구 면목동 175-1","서울특별시 중랑구 동일로 627 (면목동)","","면목self주유소","2023-11-02 15:10:23","U","2022-11-01 00:04:00.0","주유소","206960.007724943","453785.620566456","",""
"3190000","1993319007201500003","1993-12-28","","01","영업/정상","01","신규등록","","","","","02  817 4085","945","","서울특별시 동작구 상도동 190-1","서울특별시 동작구 상도로 139 (상도동)","","매일주유소","2023-10-26 16:45:15","U","2022-10-30 22:08:00.0","주유소","194190.183905754","444504.500854181","",""
"3010000","1976301007101500002","1976-05-27","","01","영업/정상","06","휴지사업재개","","","","","02-2273-5189","504.5","","서울특별시 중구 필동2가 51-1","서울특별시 중구 퇴계로 228 (필동2가)","","SK에너지 직영 퇴계로주유소","2023-07-06 15:27:47","U","2022-12-07 00:08:00.0","주유소","199678.424471292","451047.403801546","",""
"3180000","2003318007601500019","2003-10-01","","01","영업/정상","06","휴지사업재개","","","","2023-08-09","0226780503","","","서울특별시 영등포구 영등포동 426-90","서울특별시 영등포구 경인로 822 (영등포동)","","(주)대경유업 영등포현대셀프","2023-08-09 16:34:14","U","2022-12-07 23:01:00.0","주유소","191486.478006813","445905.859756811","",""
"3090000","1989309008701500001","1989-10-13","","01","영업/정상","01","신규등록","","","","","02 9054441","1129","","서울특별시 도봉구 창동 603-84","서울특별시 도봉구 덕릉로 267 (창동)","","대성산업(주)신창주유소","2023-10-20 09:44:07","U","2022-10-30 22:02:00.0","주유소","203481.710158876","459886.321087767","",""
"3090000","1976309008701500001","1976-05-24","","01","영업/정상","07","영업개시","","2012-05-01","2012-09-13","","0234913454","1142","","서울특별시 도봉구 방학동 705-15","서울특별시 도봉구 도봉로 706 (방학동)","","구도일주유소 도봉","2023-10-20 09:42:52","U","2022-10-30 22:02:00.0","주유소","203776.39338031","462785.759842796","",""
"3220000","1994322008301500081","1994-02-08","","01","영업/정상","01","신규등록","","","","","5462182","836.8","","서울특별시 강남구 신사동 563-10","서울특별시 강남구 도산대로 163 (신사동)","","에이치디현대오일뱅크(주) 직영 신사현대주유소","2023-10-27 13:09:59","U","2022-10-30 22:09:00.0","주유소","202256.805678625","446365.733033438","",""
"3060000","1993306007501500001","1993-12-30","","01","영업/정상","06","휴지사업재개","","2018-10-10","2018-11-25","2018-11-26","02   4950051","797.45","","서울특별시 중랑구 면목동 155-57","서울특별시 중랑구 동일로 654 (면목동)","","주식회사한화미 구도일주유소동천","2023-11-02 15:09:04","U","2022-11-01 00:04:00.0","주유소","207256.682638517","453800.522217889","",""
"3060000","1992306007501500001","1992-04-24","","01","영업/정상","06","휴지사업재개","","","","2021-07-18","02   4375457","754.75","","서울특별시 중랑구 상봉동 109-45","서울특별시 중랑구 봉우재로 105 (상봉동)","","대양주유소","2023-11-02 15:06:16","U","2022-11-01 00:04:00.0","주유소","207426.656238965","454478.85268601","",""
