"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"12";" Open / Normal ";" Seoul Jongno-gu Buam-dong 162-1 6th class 6th class ";" Seoul Jongno-gu 245 Jahamun-ro ( Buam-dong )";" Advisory Petroleum ";1969-01-15;NA
"13";" Closed ";" Seoul Metropolitan City Seongbuk-gu Seongbuk-dong 1 -ga 133-56 ";NA;" Samoh Oil ";1969-03-28;"20080101"
"14";" Cancel / Expunge / Expire / Suspension / Stop ";" Seoul Metropolitan Government Jongno-gu 300-1 Pyeongchang-dong ";" Seoul Jongno-gu 317 Segeomjeong-ro ( Pyeongchang-dong )";" Pyeongchang Mineral Oil ";1969-04-18;NA
"15";" Open / Normal ";" Seoul Jongno-gu Middle School 14 ";" Seoul Jongno-gu 6 Yulgok-ro ( Junghak-dong )";" Corporation Daeyang C&C Gyeongbokgung Gas Station ";1969-07-06;NA
"16";" Closed ";" Seoul Metropolitan City Seongbuk-gu Samseon-dong 5 -ga 92-1 ";" Seoul Seongbuk-gu 50 Bomun- ro 31- gil ( Samseon-dong 5- ga )";" Samseon Petroleum ";1969-08-27;"20080101"
"17";" Closed ";" Seoul Metropolitan City Seongdong-gu 209 Geumho-dong 3- ga ";" Seoul Seongdong-gu Musumak-gil 1 ( Geumho-dong 3 -ga )";" Yeoju Sanghoe ";1969-10-29;NA
"18";" Closed ";" Seoul Metropolitan City Seongbuk-gu Hawolgok-dong 81-297 ";" Seoul Seongbuk-gu Opaesan-ro 19- gil 20 ( Hawolgok-dong )";" Daesung Petroleum ";1969-11-14;"20080101"
"19";" Closed ";" Seoul Metropolitan City Seongdong-gu 620 Geumho-dong 3- ga ";" Seoul Seongdong-gu 41 Musumak-gil ( Geumho-dong 3- ga )";" Bogo Oil Painting Co., Ltd. ";1970-05-31;"20160727"
"20";" Closed ";" Seoul Metropolitan City Jongno-gu Sungin-dong 1367 ";" Seoul Jongno-gu 259 Nangye-ro ( Sungin-dong )";" Gyeongil Gas Station ";1970-06-01;NA
"21";" Closed ";" Seoul Metropolitan City Jongno-gu #101, 55-3, Nusang -dong ";" Seoul Jongno-gu 19 Okin-gil ( Nusang- dong )";" United Energy ";1970-06-20;"20120709"
"22";" Open / Normal ";" Seoul Dobong-gu Ssangmun-dong 103-7";" Seoul Dobong-gu 437 Dobong-ro ( Ssangmun-dong )";" Sammi Trading Co. , Ltd. Northern Gas Station ";1970-06-22;NA
"23";" Closed ";" Seoul Metropolitan City Jongno-gu Pyeongdong 9-11 ";" Seoul Jongno-gu Gyeonggyojang 1- gil 18 ( Pyeongdong )";" Seodaemun Oil Company ";1970-07-03;"20131029"
"24";" Open / Normal ";" Seoul Guro-gu Oryu-dong 115-1 ";NA;" ( ) Xinjiang Petroleum Co., Ltd. ";1970-07-04;NA
"25";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 64-53 Yeokchon-dong ";" Seoul Eunpyeong-gu 15-10 Yeonseo-ro 3 Ga-gil ( Yeokchon-dong )";" Samho Energy ";1970-07-10;NA
"26";" Closed ";" Seoul Metropolitan City Seongdong-gu Geumho-dong 3 -ga 1116 ";" Seoul Seongdong-gu 59 Musumak-gil ( Geumho-dong 3 -ga )";" Deoksu Sanghoe ";1970-07-28;NA
"27";" Open / Normal ";" Seoul Guro-gu Guro-dong 754-4 754-5,754-6,754-7,754-10 ";" Seoul Guro-gu 137 Guro-dong-ro ( Guro-dong , 754-5,754-6,754-7,754-10)";" Guro Gas Station ";1970-08-15;NA
"28";" Open / Normal ";" Seoul Dobong-gu Dobong-dong 561-6 ";" Seoul Dobong-gu 895 Dobong-ro ( Dobong-dong )";" GS Caltex Co. , Ltd. Dobong Gas Station ";1970-09-26;NA
"29";" Cancel / Expunge / Expire / Suspension / Stop ";" Seoul Metropolitan Government Mapo-gu Dohwa-dong 174-1 ";" Seoul Mapo-gu 69 Mapo-daero ( Dohwa-dong )";" Yangji Gas Station Co., Ltd . ";1970-10-13;NA
"30";" Closed ";" Seoul Metropolitan City Guro-gu # 102 , Building 7 , Hyundai Shopping Center, 51-1 Gocheok - dong ";" Seoul Guro-gu #102, Building 7 , 21, Jungang- ro 10- gil ( Gocheok-dong , Hyundai Shopping Center )";" Korea Petroleum ";1970-10-14;NA
"31";" Closed ";" Seoul Metropolitan City Gwangjin-gu Jayang-dong 615-2 ";" Seoul Gwangjin-gu 607-5 Ttukseom-ro ( Jayang-dong )";" Daesung Caltex Co. , Ltd .";1970-10-15;"20150715"
"32";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Bulgwang-dong 366-5 ";" Seoul Eunpyeong-gu 3-1 Yeonseo-ro 33- gil ( Bulgwang-dong )";" Korea Petroleum ";1970-10-27;NA
"33";" Open / Normal ";" Seoul Jongno-gu Inui-dong 2 ";" Seoul Jongno-gu 134-2 Changgyeonggung-ro ( Inui-dong )";" Human Oil ";1970-11-24;NA
"34";" Closed ";" Seoul Metropolitan City Jongno-gu Muak-dong 45-313 ";" Seoul Jongno-gu 6 , Tongil-ro 14- gil ( Muak-dong )";" Shinjin Oil ";1970-11-27;"20081022"
"35";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Bulgwang-dong 328-1 ";" Seoul Eunpyeong-gu 19 Yeonseo-ro 32- gil ( Bulgwang-dong )";" Gyeongnam Petroleum ";1970-12-03;NA
"36";" Closed ";" Seoul Metropolitan City Seongbuk-gu Jongam-dong 57-6 ";" Seoul Seongbuk-gu Jongam-ro 19 Na-gil 5 ( Jongam-dong )";" Jeil Petrochemical ";1970-12-16;"20080101"
"37";" Closed ";" Seoul Metropolitan City Seongbuk-gu Anam-dong 2- ga 127-1 ";" Seoul Seongbuk-gu 44 Inchon-ro 7- ga-gil ( Anam-dong 2- ga )";" Dongwon Petroleum ";1970-12-17;"20080101"
"38";" Closed ";" Seoul Metropolitan City Gangbuk-gu Mia-dong 197-14 ";" Seoul Gangbuk-gu 200 Dobong-ro ( Mia-dong )";" Samyang Gas Station ";1971-01-01;"20120220"
"39";" Closed ";" Seoul Metropolitan City Seongbuk-gu Samseon-dong 1 -ga 274-32 ";" Seoul Seongbuk-gu 10 Samseongyo-ro 17 Da- gil ( Samseon-dong 1- ga )";" Chungbuk Petroleum ";1971-02-13;"20080101"
"40";" Closed ";" Seoul Metropolitan City Seongbuk-gu 685-11 Jeongneung-dong ";" Seoul Seongbuk-gu Solsaem-ro 6 -gil 24-2 ( Jeongneung-dong )";" Revival Oil ";1971-02-20;"20061124"
"41";" Closed ";" Seoul Metropolitan City Dongjak-gu Heukseok-dong 248-51 ";NA;" Everything Store ";1971-04-24;NA
"42";" Open / Normal ";" Seoul Gangdong-gu Cheonho-dong 354-4";" Seoul Gangdong-gu 673 Olympic-ro ( Cheonho-dong )";" Gwangseong Gas Station ";1971-05-27;NA
"43";" Closed ";" Seoul Metropolitan City Jongno-gu 583-2 Changsin-dong ";NA;" Dongwon Petroleum ";1971-06-23;NA
"44";" Closed ";" Seoul Metropolitan City Seongbuk-gu Donam-dong 48-84 ";" Seoul Seongbuk-gu 179-20 Dongsomun-ro ( Donam-dong )";" Samjeong Petroleum ";1971-08-28;"20080101"
"45";" Closed ";" Seoul Metropolitan City Seongdong-gu 325 Geumho-dong 2- ga ";" Seoul Seongdong-gu 71 Geumhosan-gil ( Geumho-dong 2- ga )";" daylight Oil ";1971-08-30;NA
"46";" Closed ";" Seoul Metropolitan City Seongbuk-gu Seokgwan-dong 341-28 ";NA;" LG Petroleum ";1971-09-13;"20061010"
"47";" Closed ";" Seoul Metropolitan City Seocho-gu Seocho-dong 1486-6 ";" Seoul Seocho-gu 222 Hyoryeong-ro ( Seocho-dong )";" Dongyang Petroleum ";1972-01-19;NA
"48";" Closed ";" Seoul Metropolitan City Gangbuk-gu Mia-dong 682-12 ";" Seoul Gangbuk-gu 160 Samyang-ro ( Mia-dong )";" Miyang Gas Station ";1972-04-24;"20150515"
"49";" Open / Normal ";" Seoul Guro-gu Guro-dong 1131-4";" Seoul Guro-gu 531 Siheung-daero ( Guro-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Guro self-service gas station ";1973-09-28;NA
"50";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Jingwan Oedong 175-434 ";NA;" Saemaeul Oil ";1973-10-01;"20080616"
"51";" Open / Normal ";" Seoul Jongno-gu Sajik-dong 262-85 ";" Seoul Jongno-gu 65 Sajik- ro ( Sajik-dong )";" Corporation Daeyang C&C ";1973-12-28;NA
"52";" Open / Normal ";" Seoul Geumcheon-gu 980 Siheung-dong ( Siheung-daero 646-2)";" Seoul Geumcheon-gu 39-7 Siheung-daero ( Siheung-dong )";"SK Energy Co., Ltd. Parkmi Gas Station ";1974-01-04;NA
"53";" Closed ";" Seoul Metropolitan City Jongno-gu Sajik-dong 228 ";" Seoul Jongno-gu 73 Sajik-ro ( Sajik-dong )";" Korea Petroleum ";1974-04-16;NA
"54";" Closed ";" Seoul Metropolitan City Jongno-gu Waryong-dong 5-10 ";" Seoul Jongno-gu 102 Yulgok-ro ( Waryong-dong )";" Daesung Petroleum Co. , Ltd. Directly Managed Biwon Gas Station ";1974-06-04;"20120217"
"55";" Closed ";" Seoul Metropolitan City Seongbuk-gu Hawolgok-dong 26-1 ";NA;" Seongwolsa Temple ";1974-11-30;"20070904"
"56";" Closed ";" Seoul Metropolitan City Jongno-gu 157-1 Pyeongchang-dong ";" Seoul Jongno-gu 81 Pyeongchangmunhwa-ro ( Pyeongchang-dong )";" Kyungil Petroleum Co. , Ltd. Segeomjeong Gas Station ";1974-12-26;"20101214"
"57";" Closed ";" Seoul Metropolitan City Jongno-gu Sungin-dong 1104 ";" Seoul Jongno-gu 44 Sungin-dong-gil ( Sungin-dong )";" Sewangsangsa ";1975-01-07;NA
"58";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 765 ";" Seoul Gangnam-gu 18 Dogok-ro 57- gil ( Yeoksam-dong )";" Dongil Oil ";1975-02-13;NA
"59";" Closed ";" Seoul Metropolitan City Seongbuk-gu 81-57 Hawolgok-dong ";" Seoul Seongbuk-gu 21-7 , Opaesan- ro 17- gil ( Hawolgok-dong )";" Wolgok Petroleum ";1975-02-26;"20080101"
"60";" Closed ";" Seoul Metropolitan City Eunpyeong-gu 13-25 Yeokchon-dong ";" Seoul Eunpyeong-gu 10 Yeokmal- ro 7- gil ( Yeokchon-dong )";" Miryung Oil Co. ";1975-02-26;NA
"61";" Closed ";" Seoul Metropolitan City Seongbuk-gu Sangwolgok-dong 57-5 ";" Seoul Seongbuk-gu 69 Jangwol-ro 1- gil ( Sangwolgok-dong )";" Donga Petrochemical ";1975-03-06;"20080101"
"62";" Open / Normal ";" Seoul Seodaemun-gu Yeonhui-dong 220-55 Gudoil Gas Station ";" Seoul Seodaemun-gu 312 Seongsan-ro , Gudoil Gas Station ( Yeonhui-dong )";" Hanwami Co. , Ltd. Gudoil gas station Toad ";1975-03-08;NA
"63";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 727-9 8 barrels 1 class ";" Seoul Gangnam-gu Yeoksam- ro 25 Gil 21 ( Yeoksam-dong )";" GS Caltex Co. , Ltd. Gajwa Branch ";1975-03-08;"20090508"
"64";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 727-9 8 barrels 1 class ";" Seoul Gangnam-gu Yeoksam- ro 25 Gil 21 ( Yeoksam-dong )";" Throne ";1975-03-08;"20081111"
"65";" Open / Normal ";" Seoul Seodaemun-gu Dongnimmun Gas Station, 103-9 Hongje-dong ";" Seoul Seodaemun-gu 384 Tongil-ro , Dongnimmun Gas Station ( Hongje-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Dongnimmun gas station ";1975-03-15;NA
"66";" Open / Normal ";" Seoul Gangbuk-gu Mia-dong 135-13 ";" Seoul Gangbuk-gu 124 Dobong-ro ( Mia-dong )";" Corporation GS E&R Mia Gas Station ";1975-03-15;NA
"67";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 727-9 8 barrels 1 class ";" Seoul Gangnam-gu 21 Yeoksam- ro 25- gil ( Yeoksam-dong )";" Hongje Gas Station ";1975-03-15;"20081111"
"68";" Open / Normal ";" Seoul Seodaemun-gu Hongje-dong 22-3 Hongje-dong gas station ";" Seoul Seodaemun-gu 372 Tongil-ro , Hongje-dong gas station ( Hongje-dong )";" GS Caltex Co. , Ltd. Hongje -dong Gas Station ";1975-03-15;NA
"69";" Closed ";" Seoul Metropolitan City Seodaemun-gu Chungjeong-ro 3 -ga 3-131 ";" Seoul Seodaemun-gu 76 Gyeonggi- daero 9- gil ( Chungjeong-ro 3- ga )";" Ssangyong Energy Co. , Ltd. ";1975-04-01;NA
"70";" Business / Normal ";" Seoul Seodaemun-gu 89-7 Yeonhui-dong ";" Seoul Seodaemun-gu 129 Yeonhui-ro ( Yeonhui-dong )";" Yeonhui Gas Station ";1975-04-07;NA
"71";" Closed ";" Seoul Metropolitan City Seodaemun-gu Yeonhui-dong 86-7 ";" Seoul Seodaemun-gu 141 Yeonhui-ro ( Yeonhui-dong )";" Hyundai Oilbank Co. , Ltd. directly managed Yeonhee Hyundai Gas Station ";1975-04-23;"20150301"
"72";" Open / Normal ";" Seoul Seongbuk-gu 76-57 Hawolgok-dong ";" Seoul Seongbuk-gu 63-1 Opaesan-ro ( Hawolgok-dong )";" Neighborhood Energy ";1975-05-14;NA
"73";" Closed ";" Seoul Metropolitan City Seongbuk-gu 243 Dongseon-dong 3- ga ";" Seoul Seongbuk-gu Bomun-ro 34 Ga-gil 5 ( Dongseon-dong 3- ga )";" Dongseon Petroleum ";1975-06-04;"20080101"
"74";" Closed ";" Seoul Metropolitan City Gangnam-gu Yeoksam-dong 706-18 ";" Seoul Gangnam-gu Eonju-ro 90 gil 12 ( Yeoksam-dong )";" Geumseok Oil ";1975-07-08;"20070423"
"75";" Closed ";" Seoul Metropolitan City Jongno-gu 23-409 Changsin-dong ";" Seoul Jongno-gu Changsin 6 Ga-gil 50 ( Changsin-dong )";" Korea Kerosene Company ";1975-08-19;NA
"76";" Open / Normal ";" Seoul Seodaemun-gu Yeonhui-dong 353-77";" Seoul Seodaemun-gu 52-6 Yeonhui-ro ( Yeonhui-dong )";" Sunpal Energy ";1975-09-11;NA
"77";" Closed ";" Seoul Metropolitan City Seongbuk-gu 16-392 Jeongneung-dong ";" Seoul Seongbuk-gu 38 Jeongneung-ro, 28 Ragil ( Jeongneung-dong )";" Sea oil ";1975-10-16;"20080101"
"78";" Open / Normal ";" Seoul Jongno-gu Hyehwa-dong 102-2 ";" Seoul Jongno-gu Changgyeonggung- ro 35 - gil 1 ( Hyehwa-dong )";"( Co .) Joongang Energy Hyehwa Branch ";1975-12-19;NA
"79";" Closed ";" Seoul Metropolitan City Gangnam-gu Nonhyeon-dong 94 ";" Seoul Gangnam-gu 334 Dosan-daero ( Nonhyeon-dong )";" Yeongdong Gas Station ";1976-03-27;NA
"80";" Open / Normal ";" Seoul Dongjak-gu Sindaebang-dong 686-44";" Seoul Dongjak-gu 616 Siheung-daero ( Sindaebang-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Sindaebang self gas station ";1976-04-02;NA
"81";" Closed ";" Seoul Metropolitan City Seocho-gu Seocho-dong 1354-3 ";" Seoul Seocho-gu 2547 Nambusunhwan-ro ( Seocho-dong )";" Hyeopshin Oil Co., Ltd. Daejeong Gas Station ";1976-04-02;NA
"82";" Closed ";" Seoul Metropolitan City Gangbuk-gu Suyu-dong 47-2 ";" Seoul Gangbuk-gu 295 Dobong-ro ( Suyu-dong )";" Seongbuk Gas Station ";1976-04-10;"20160408"
"83";" Closed ";" Seoul Metropolitan City Jongno-gu Sungin-dong 310 ";" Seoul Jongno-gu Jongno 344 ( Sungin-dong )";" Miryung Sangsa -dong Daemun Gas Station Co., Ltd. " ;1976-04-22;NA
"84";" Open / Normal ";" Seoul Eunpyeong-gu Bulgwang-dong 493";" Seoul Eunpyeong-gu 924 Tongil-ro ( Bulgwang-dong )";" Seoul Petroleum Co. , Ltd. Eunpyeong New Town Gas Station ";1976-04-25;NA
"85";" Closed ";" Seoul Metropolitan City Seongdong-gu Doseon-dong 21-1 ";" Seoul Seongdong-gu Gosanja-ro 255 ( Doseon-dong )";" Doseon-dong gas station ";1976-04-26;NA
"86";" Open / Normal ";" Seoul Geumcheon-gu 967 Doksan-dong ( 201 Siheung-daero ) ";" Seoul Geumcheon-gu 484 Siheung-daero ( Doksan-dong )";" Hwadong Dairy Co., Ltd. " ;1976-04-26;NA
"87";" Open / Normal ";" Seoul Dongdaemun-gu Jeonnong-dong 26-5 ";" Seoul Dongdaemun-gu 121 Jeonnong-ro ( Jeonnong-dong )";" Financial Gas Station ";1976-04-27;NA
"88";" Closed ";" Seoul Metropolitan City Seongbuk-gu Anam-dong 4 -ga 41-37 ";" Seoul Seongbuk-gu 17 Anam-ro ( Anam-dong 4- ga )";" Third Gas Station ";1976-04-27;"20171226"
"89";" Closed ";" Seoul Metropolitan City Seongbuk-gu Dongsomun-dong 6 -ga 116 ";" Seoul Seongbuk-gu 93 Dongsomun-ro ( Dongsomun-dong 6 -ga )";" Pungguk Gas Station ";1976-04-27;NA
"90";" Open / Normal ";" Seoul Mapo-gu Dohwa-dong 174-1 ";" Seoul Mapo-gu 69 Mapo-daero ( Dohwa-dong )";" SK Energy Co. , Ltd. Yangji Gas Station ";1976-04-27;NA
"91";" Closed ";" Seoul Metropolitan City Jung-gu Chodong 107-12 ";" Seoul Jung-gu Dry Nae-ro 31 ( Cho-dong )";" GS Caltex Co. , Ltd. Chodong Gas Station ";1976-04-28;"20200901"
"92";" Closed ";" Seoul Metropolitan City Jung-gu Chungmuro 5 -ga 19-8 ";" Seoul Jung-gu 2-1 Changgyeonggung-ro ( Chungmuro 5- ga )";" Chungmuro 5 -ga Gas station ";1976-04-28;"20080108"
"93";" Closed ";" Seoul Metropolitan City Jung-gu Euljiro 5 -ga 273-2 ";" Seoul Jung-gu 361 Dongho-ro ( Eulji-ro 5- ga )";" Euljiro 5 Gas Station ";1976-04-28;"20021227"
"94";" Closed ";" Seoul Metropolitan City Gwangjin-gu Gunja-dong 473-1 ";NA;" Junggok Gas Station ";1976-04-29;"20110406"
"95";" Closed ";" Seoul Metropolitan City Gangseo-gu Gonghang-dong 7-5 ";NA;" ( Airport Oil Direct Management Co., Ltd. ) Airport gas station ";1976-04-29;"20101103"
"96";" Closed ";" Seoul Metropolitan City Guro-gu 76-74 Gocheok-dong ";" Seoul Guro-gu 407 Gyeongin-ro ( Gocheok-dong )";" Jeongeun Gas Station ";1976-04-29;"20211216"
"97";" Open / Normal ";" Seoul Eunpyeong-gu 576-39, Eungam-dong ";" Seoul Eunpyeong-gu 210 Eungam-ro ( Eungam-dong )";" GS Caltex Co. , Ltd. West Gas Station ";1976-04-30;NA
"98";" Open / Normal ";" Seoul Seongbuk-gu Jeongneung-dong 113-61";" Seoul Seongbuk-gu 96 Arirang-ro ( Jeongneung-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Arirang Gas Station ";1976-04-30;NA
"99";" Open / Normal ";" Seoul Jung-gu 357-6, Sindang-dong ";" Seoul Jung-gu 203 Dongho-ro ( Sindang-dong )";" HD Hyundai Oil Bank Co. , Ltd. directly managed Jangwon Gas Station ";1976-04-30;NA
"100";" Closed ";" Seoul Metropolitan City Jongno-gu Philosophy 246 ";NA;" Pilun Gas Station ";1976-04-30;NA
"101";" Operation / normal ";" Seoul Jung-gu 101-9 Sindang-dong ";" Seoul Jung-gu 242 Dasan-ro ( Sindang-dong )";" Sindang-dong Gas Station ";1976-04-30;NA
"102";" Open / normal ";" Seoul Metropolitan City Yongsan-gu Galwol-dong 11-34 sk Galwol-dong gas station ";" Seoul Yongsan-gu 322 Hangang-daero , Galwol-dong gas station ( Galwol-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Galwol-dong gas station ";1976-04-30;NA
"103";" Open / Normal ";" Seoul Metropolitan City Yongsan-gu Cheongam-dong 168-22";" Seoul Yongsan-gu 9 Wonhyo-ro ( Cheongam-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Gangbyeon Hyundai Gas Station ";1976-04-30;NA
"104";" Operating / normal ";" Seoul Yongsan-gu Dongja-dong 14-125";" Seoul Yongsan-gu Hangang-daero 104 -gil 6 ( Dongja-dong )";" Dongja-dong Gas Station ";1976-04-30;NA
"105";" Open / Normal ";" Seoul Metropolitan City Seongbuk-gu 146-7, Bomun-dong 5- ga ";" Seoul Seongbuk-gu 85 Bomun-ro ( Bomun-dong 5- ga )";" Dongil Gas Station ";1976-04-30;NA
"106";" Operating / normal ";" Seoul Dongjak-gu Sadang-dong 1007-47";" Seoul Dongjak-gu 73, Dongjak-daero ( Sadang-dong )";" Directly managed by HD Hyundai Oilbank Co. , Ltd. Sadang Self Gas Station ";1976-05-01;NA
"107";" Closed ";" Seoul Metropolitan City Dongjak-gu Noryangjin-dong 148-8";" Seoul Dongjak-gu Noryangjin-ro 172 ( Noryangjin-dong )";" Daesung Industrial Co. , Ltd. Noryang Jinju Oil Station ";1976-05-01;"20220615"
"108";" Closed ";" Seoul Metropolitan City Dongjak-gu Daebang-dong 341-3 ";" Seoul Dongjak-gu Noryangjinro 2 ( Daebang-dong )";" Seoul Petrochemical Co. , Ltd. Palgakjeong Gas Station ";1976-05-02;NA
"109";" Open / normal ";" Seoul Gangdong-gu Seongnae-dong 439-16";" Seoul Gangdong-gu 1323 Yangjae-daero ( Seongnae-dong )";" Somo Co. , Ltd. Shinwol Gas Station ";1976-05-03;NA
"110";" Open / Normal ";" Seoul Metropolitan City Jung-gu Muhak-dong 12-2";" Seoul Jung-gu 233 Dasan-ro ( Muhak-dong )";" Corporation Tiger Trading Dasan Gas Station ";1976-05-03;NA
"111";" Closed ";" Seoul Metropolitan City Eunpyeong-gu Nokbeon-dong 81-15 ";" Seoul Eunpyeong-gu 32 Seooreung-ro ( Nokbeon-dong )";" Gyeongin Gas Station ";1976-05-03;"20150907"
"112";" Closed ";" Seoul Metropolitan City Seongdong-gu Seongsu-dong 1 -ga 671-110 ";" Seoul Seongdong-gu 155 Wangsimni-ro ( Seongsu-dong 1- ga )";" Dongshin gas station ";1976-05-04;NA
"113";" Closed ";" Seoul Metropolitan City Jung-gu 84-17 Namdaemun-ro 5- ga ";" Seoul Jung-gu 15 Toegye-ro ( Namdaemun-ro 5- ga )";" Directly managed by GS Caltex Co. , Ltd. Reverse point ";1976-05-04;NA
"114";" Open / Normal ";" Seoul Metropolitan City Yongsan-gu Seogye-dong 47-15";" Seoul Yongsan-gu 367 Cheongpa-ro ( Seogye-dong )";" Seogye Gas Station ";1976-05-04;NA
"115";" Closed ";" Seoul Metropolitan City Seongbuk-gu 542-4 Gireum-dong ";NA;" Jeil Petrochemical ";1976-05-04;"20080101"
"116";" Closed ";" Seoul Metropolitan City Seongbuk-gu Jongam-dong 29-10 ";" Seoul Seongbuk-gu 17 Jongam-ro ( Jongam-dong )";" Koryo Gas Station ";1976-05-04;"20170831"
"117";" Closed ";" Seoul Metropolitan City Gangseo-gu Banghwa-dong 488-1";" Seoul Gangseo-gu 57 Yangcheon-ro ( Banghwa-dong )";" GS Caltex Oil Reservoir Co. , Ltd. Gaehwa Gas Station ";1976-05-04;"20050624"
"118";" Closed ";" Seoul Metropolitan City Seocho-gu 750-20 Bangbae-dong ";" Seoul Seocho-gu 12 Sapyeong-daero ( Bangbae-dong )";" Banpo self-service gas station directly managed by Hyundai Oilbank Co., Ltd. " ;1976-05-04;"20211018"
"119";" Open / Normal ";" Seoul Seocho-gu Banpo-dong 111-2";" Seoul Seocho-gu 94 Sapyeong-daero ( Banpo-dong )";" Sinbanpo Gas Station ";1976-05-04;NA
"120";" Open / Normal ";" Seoul Gangdong-gu Dunchon-dong 66-2";" Seoul Gangdong-gu 1168 Cheonho-daero ( Dunchon-dong )";" Daesung Petroleum Co. , Ltd. Gildong Gas Station ";1976-05-04;NA
"121";" Open / Normal ";" Seoul Seongbuk-gu Hawolgok-dong 18-11 ";" Seoul Seongbuk-gu 110 Hwarang-ro ( Hawolgok -dong )";" Jangwi Gas Station ";1976-05-07;NA
"122";" Open / Normal ";" Seoul Mapo-gu Yeomni-dong 155-6";" Seoul Mapo-gu 126 Baekbeom-ro ( Yeomni-dong )";" S - Oil Co. , Ltd. Yeomni - dong gas station ";1976-05-07;NA
"123";" Closed ";" Seoul Metropolitan City Yeongdeungpo-gu Yangpyeong-dong 1- ga 104-1 ";" Seoul Yeongdeungpo-gu 114 Seonyu-ro ( Yangpyeong-dong 1- ga )";" Directly managed by Hyundai Oilbank Co. , Ltd. Seonyuro self-service gas station ";1976-05-07;"20210105"
"124";" Closed ";" Seoul Metropolitan City Dongdaemun-gu Sinseol-dong 92-27 92-27.36.37.62.96.1 Hyo ";NA;" Sinseoldong gas station ";1976-05-08;"20100428"
"125";" Open / Normal ";" Seoul Geumcheon-gu 939-4 Siheung-dong ( 569 Siheung-daero )";" Seoul Geumcheon-gu 118 Siheung-daero ( Siheung-dong )";" GS Caltex Co. , Ltd. Ilshin Gas Station ";1976-05-10;NA
"126";" Open / Normal ";" Seoul Gwangjin-gu Gwangjang-dong 239-6";" Seoul Gwangjin-gu 809 Cheonho-daero ( Gwangjang- dong )";" Samho Gas Station ";1976-05-10;NA
